skill_name,skill_id,belongs_to,source
12 Plus years of experience in an administrative and clerical environment,23614,23614,manual
12 plus years GIS / Imagery Analysis and Cartographic Experience,17381,17381,manual
12 years IT system administration,29690,29690,manual
12 years as a over the truck driver and trainer in all 48 states,35011,35011,manual
12 years as an Electronics Maintenance Supervisor. 14 years experience as an Electronics Maintenance Technician.,42761,42761,manual
12 years auto maintenance field,42112,42112,manual
12 years experience customer service; retail sales and online customer support.,26548,26548,manual
12 years experience in the Manufacturing Industry.,45274,45274,manual
12 years of materials handling equipment operations,11999,11999,manual
12+ years’ experience with client-oriented work,15854,15854,manual
"120V, 220V, 450V, 10,000V",15666,15666,manual
123R,75041,75041,linkedin
12d Model,68488,68488,linkedin
13 years experience,44488,44488,manual
13 years operational experience,37361,37361,manual
"13 yrs experience within the warehouse field,15yrs experience in the porter/custodian field",31393,31393,manual
13C NMR,60366,60366,linkedin
14 YEARS OF GIS/GPS SUPERVISORY EXPERIENCE,38177,38177,manual
"14 years experience troubleshooting computer issues, multiple OS and hardware configurations",26217,26217,manual
14 years of Risk Management,41264,41264,manual
144A,79584,79584,linkedin
"15 Years of Law Enforcement experience with the Caddo Parish Sheriff's Office in Shreveport, LA.",43466,43466,manual
15 years commercial truck driving experience,20925,20925,manual
15 years experience in training personnel.,25040,25040,manual
15 years of Logistics Operational Planning,22406,22406,manual
15 years of exceptional Human Resources and Office Manager duties at the intermediate and executive levels.,27201,27201,manual
15 years of managerial skills,36955,36955,manual
15 years professional experience as an Help Desk technician.,37047,37047,manual
15+ years Customer Service experience,23120,23120,manual
15+yrs Shipping and Receiving,38532,38532,manual
"1500/UB 2 claims, Medical Terminology, CPT/HCPC codes, ICD9/10, DRG/Revenue codes",28531,28531,manual
15yrs Leadership Exp.,16530,16530,manual
15yrs Safety Exp.,34821,34821,manual
15yrs Training Exp.,35331,35331,manual
16 months experience as a paralegal,32242,32242,manual
"16 yrs of technical experience in HVAC, mechanical & electronic circuitry repair  services",38573,38573,manual
16+  years experience independently operate and manage a small daycare business,14870,14870,manual
16PF,79419,79419,linkedin
16mm,71242,71242,linkedin
17 years combined military experience,33003,33003,manual
17 years of Customer Service experience and 3 years of call center support in healthcare related setting,40334,40334,manual
18 Wheeler Flatbed Driver,37281,37281,manual
18 plus years experience with the AEGIS Weapons System platforms,28941,28941,manual
18 year personal experience of equine,17377,17377,manual
18 years Class A CDL experience,31464,31464,manual
"18 years developing leadership, management and maintenance experience in amphibious operations/systems, specializing in Cargo Offload and Discharge Systems that support the Marine Expeditionary Force",29027,29027,manual
18 years experience in Geodetic Surveying,44258,44258,manual
"18 years experience interacing and supporting customers, vendors, and all levels of management throughout the medical and food industry",22620,22620,manual
18 years of management experience,43686,43686,manual
1811 Special Investigator,14865,14865,manual
1875 MQ-1 Combat Hours,45460,45460,manual
